,country,year,similarity
0,Afghanistan,1923,0.0
1,Afghanistan,1931,0.4902039476655921
2,Afghanistan,1964,0.5053898462326978
3,Afghanistan,1977,0.47100592406611097
4,Afghanistan,1987,0.34199374387551423
5,Afghanistan,1990,0.05189119552240087
6,Afghanistan,2004,0.32193031206143763
7,Albania,1925,0.0
8,Albania,1928,0.43747336442793044
9,Albania,1939,0.3923760648520349
10,Albania,1946,0.4981875052776918
11,Albania,1976,0.4463411964333309
12,Albania,1998,0.6380719741774057
13,Algeria,1963,0.0
14,Algeria,1996,0.5368397261252649
15,Andorra,1993,0.0
16,Angola,1975,0.0
17,Angola,2010,0.5716225718386806
18,Antigua Barbuda,1981,0.0
19,Argentina,1819,0.0
20,Argentina,1826,0.2517267141378704
21,Argentina,1853,0.6294806564273867
22,Armenia,1995,0.0
23,Armenia,2005,0.122442635167816
24,Armenia,2015,0.2966422121991586
25,Australia,1901,0.0
26,Austria,1920,0.0
27,Austria,1934,0.11365033319205621
28,Azerbaijan,1991,0.0
29,Azerbaijan,1995,0.41088370344543274
30,Azerbaijan,2009,0.047260566314612805
31,Bahamas,1973,0.0
32,Bahrain,1973,0.0
33,Bahrain,2002,0.47155118656933404
34,Bangladesh,1972,0.0
35,Barbados,1966,0.0
36,Belarus,1994,0.0
37,Belgium,1831,0.0
38,Belize,1981,0.0
39,Benin,1964,0.0
40,Benin,1970,0.33108410099762114
41,Benin,1990,0.4116058889818554
42,Bhutan,1953,0.0
43,Bhutan,2008,0.5798510482686507
44,Bolivia,1826,0.0
45,Bolivia,1831,0.17568981123604654
46,Bolivia,1843,0.20884277323771694
47,Bolivia,1851,0.21221055766518496
48,Bolivia,1880,0.5539782381827383
49,Bolivia,1938,0.5106129528384783
50,Bolivia,1945,0.3303033410266863
51,Bolivia,1967,0.4119225028608092
52,Bolivia,2009,0.6231011872251634
53,BosniaAndHerzegovina,1995,0.0
54,Botswana,1966,0.0
55,Brazil,1824,0.0
56,Brazil,1891,0.45722944086823597
57,Brazil,1937,0.5098210739438005
58,Brazil,1946,0.18548323895261795
59,Brazil,1967,0.18125199201738848
60,Brazil,1988,0.3750032981091742
61,Bulgaria,1947,0.0
62,Bulgaria,1971,0.4030430466495423
63,Bulgaria,1991,0.6290983297696648
64,Burkina Faso,1960,0.0
65,Burkina Faso,1988,0.8322413362858245
66,Burkina Faso,1991,0.8003904552096498
67,Burundi,1962,0.0
68,Burundi,1974,0.5365899088218161
69,Burundi,1981,0.34705227454544385
70,Burundi,1992,0.2485098985229886
71,Burundi,2004,0.2359041240908134
72,Burundi,2005,0.14148094696534533
73,Cambodia,1947,0.0
74,Cambodia,1972,0.5031897603880783
75,Cambodia,1976,0.8142645821183572
76,Cambodia,1981,0.4490171228788636
77,Cambodia,1989,0.2623136364055792
78,Cambodia,1993,0.5754766375342685
79,Cameroon,1960,0.0
80,Cameroon,1961,0.8016318293104643
81,Cameroon,1972,0.4217296985902456
82,Canada,1791,0.0
83,Canada,1867,0.4692514915869393
84,Canada,2011,0.30656309423282124
85,Cape Verde,1980,0.0
86,Central African Republic,1981,0.0
87,Central African Republic,1994,0.3305752188157286
88,Central African Republic,2004,0.23124919098635227
89,Central African Republic,2013,0.34777716344906745
90,Chad,1960,0.0
91,Chad,1962,0.3939476228720946
92,Chad,1996,0.6971829148932153
93,Chile,1823,0.0
94,Chile,1828,0.2959910081145223
95,Chile,1833,0.14944289434166566
96,Chile,1925,0.35801274805574157
97,Chile,1980,0.4928543175642015
98,China,1914,0.0
99,China,1923,0.523323644525089
100,China,1947,0.5180628971480767
101,China,1949,0.6764204497244671
102,China,1954,0.2158106460823084
103,China,1975,0.1675279455483443
104,China,1978,0.06467552899542264
105,China,1982,0.20722682280528612
106,Colombia,1811,0.0
107,Colombia,1830,0.5011886534405836
108,Colombia,1832,0.13102869921684474
109,Colombia,1843,0.07209604897014517
110,Colombia,1853,0.21697140447351804
111,Colombia,1858,0.3462197059503148
